id,name,address,district,subdistrict,severity_level,water_depth_cm,status,description,source_type,source_reference,occurred_at,reported_at,is_verified,data_status,longitude,latitude
18,"Banjir Depan RSUD Abdul Moeloek","Depan RSUD Abdul Moeloek / jalan protokol",Enggal,Enggal,tinggi,60,surut,"Genangan tinggi dilaporkan di depan RSUD Abdul Moeloek saat banjir 14 April 2026. Kejadian banjir merupakan data nyata berbasis pemberitaan media. Koordinat merupakan hasil geocoding/plotting lokasi jalan atau area yang disebut dalam berita, sehingga presisi titik masih dapat disempurnakan dengan survei GPS lapangan.",berita,"https://news.detik.com/berita/d-8445003/banjir-terjang-16-kecamatan-di-bandar-lampung-1-orang-meninggal | https://lampung.rilis.id/Peristiwa/Berita/bandar-lampung-dikepung-banjir-di-kedaton-kEg1 | https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/","2026-04-14 18:30:00","2026-04-15 10:00:00",true,nyata,105.2601,-5.416
19,"Banjir Jalan Dokter Sutomo Penengahan","Jalan Dokter Sutomo, Kelurahan Penengahan RT 005 LK 01",Kedaton,Penengahan,kritis,120,surut,"Warga dilaporkan terjebak di rumah akibat debit air meningkat cepat, dengan ketinggian air mencapai dada orang dewasa. Kejadian banjir merupakan data nyata berbasis pemberitaan media. Koordinat merupakan hasil geocoding/plotting lokasi jalan atau area yang disebut dalam berita, sehingga presisi titik masih dapat disempurnakan dengan survei GPS lapangan.",berita,https://lampung.rilis.id/Peristiwa/Berita/bandar-lampung-dikepung-banjir-di-kedaton-kEg1,"2026-04-14 18:30:00","2026-04-14 23:49:00",true,nyata,105.2638,-5.3948
20,"Genangan Jalan Pangeran Antasari - Transmart","Koridor Jalan Pangeran Antasari hingga kawasan Transmart","Way Halim","Way Halim Permai",tinggi,50,surut,"Genangan dilaporkan terjadi di sepanjang Jalan Pangeran Antasari hingga kawasan Transmart. Kejadian banjir merupakan data nyata berbasis pemberitaan media. Koordinat merupakan hasil geocoding/plotting lokasi jalan atau area yang disebut dalam berita, sehingga presisi titik masih dapat disempurnakan dengan survei GPS lapangan.",berita,"https://lampung.rilis.id/Peristiwa/Berita/bandar-lampung-dikepung-banjir-di-kedaton-kEg1?page=2 | https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/","2026-04-14 18:30:00","2026-04-14 23:49:00",true,nyata,105.2878,-5.3987
21,"Banjir Kaliawi - Kelapa Tiga","Kaliawi / Kelapa Tiga","Tanjung Karang Barat","Kaliawi / Kelapa Tiga",tinggi,70,surut,"Kaliawi dan Kelapa Tiga disebut sebagai kawasan terdampak banjir 14 April 2026. Koordinat merupakan titik representatif area. Kejadian banjir merupakan data nyata berbasis pemberitaan media. Koordinat merupakan hasil geocoding/plotting lokasi jalan atau area yang disebut dalam berita, sehingga presisi titik masih dapat disempurnakan dengan survei GPS lapangan.",berita,"https://lampung.rilis.id/Peristiwa/Berita/bandar-lampung-dikepung-banjir-di-kedaton-kEg1 | https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/","2026-04-14 18:30:00","2026-04-14 23:49:00",true,nyata,105.246,-5.4108
22,"Genangan Jalan Teuku Umar","Jalan Teuku Umar",Kedaton,Kedaton,sedang,40,surut,"Jalan Teuku Umar disebut sebagai salah satu jalan protokol yang tergenang saat banjir 14 April 2026. Kejadian banjir merupakan data nyata berbasis pemberitaan media. Koordinat merupakan hasil geocoding/plotting lokasi jalan atau area yang disebut dalam berita, sehingga presisi titik masih dapat disempurnakan dengan survei GPS lapangan.",berita,https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/,"2026-04-14 18:30:00","2026-04-14 22:00:00",true,nyata,105.2578,-5.3865
23,"Genangan Jalan Ki Maja","Jalan Ki Maja","Way Halim","Way Halim Permai",sedang,40,surut,"Jalan Ki Maja disebut sebagai salah satu ruas terdampak genangan saat banjir 14 April 2026. Kejadian banjir merupakan data nyata berbasis pemberitaan media. Koordinat merupakan hasil geocoding/plotting lokasi jalan atau area yang disebut dalam berita, sehingga presisi titik masih dapat disempurnakan dengan survei GPS lapangan.",berita,https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/,"2026-04-14 18:30:00","2026-04-14 22:00:00",true,nyata,105.2795,-5.3848
24,"Genangan Jalan Antasari","Jalan Pangeran Antasari",Kedamaian,Kedamaian,sedang,50,surut,"Jalan Antasari disebut sebagai salah satu ruas jalan protokol terdampak genangan. Kejadian banjir merupakan data nyata berbasis pemberitaan media. Koordinat merupakan hasil geocoding/plotting lokasi jalan atau area yang disebut dalam berita, sehingga presisi titik masih dapat disempurnakan dengan survei GPS lapangan.",berita,https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/,"2026-04-14 18:30:00","2026-04-14 22:00:00",true,nyata,105.293,-5.4075
25,"Banjir Jalan Pandawa Garuntang","Jalan Pandawa, Kelurahan Garuntang","Bumi Waras",Garuntang,kritis,,surut,"Lokasi warga yang dilaporkan meninggal pada kejadian banjir 14 April 2026. Koordinat merupakan titik representatif area Jalan Pandawa, Garuntang. Kejadian banjir merupakan data nyata berbasis pemberitaan media. Koordinat merupakan hasil geocoding/plotting lokasi jalan atau area yang disebut dalam berita, sehingga presisi titik masih dapat disempurnakan dengan survei GPS lapangan.",berita,https://lampung.rilis.id/Breaking%20News/Berita/banjir-rendam-34-titik-di-bandar-lampung-1-warga-36kR?page=1,"2026-04-14 18:30:00","2026-04-15 10:28:00",true,nyata,105.28,-5.4305
26,"Banjir Sukarame","Wilayah Sukarame terdampak banjir",Sukarame,Sukarame,sedang,,surut,"Sukarame disebut sebagai salah satu kecamatan/kawasan terdampak banjir 14 April 2026. Kejadian banjir merupakan data nyata berbasis pemberitaan media. Koordinat merupakan hasil geocoding/plotting lokasi jalan atau area yang disebut dalam berita, sehingga presisi titik masih dapat disempurnakan dengan survei GPS lapangan.",berita,"https://news.detik.com/berita/d-8445003/banjir-terjang-16-kecamatan-di-bandar-lampung-1-orang-meninggal | https://lampung.rilis.id/Breaking%20News/Berita/banjir-rendam-34-titik-di-bandar-lampung-1-warga-36kR?page=1 | https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/","2026-04-14 18:30:00","2026-04-15 11:54:00",true,nyata,105.313,-5.385
27,"Banjir Rajabasa","Wilayah Rajabasa terdampak banjir",Rajabasa,Rajabasa,sedang,,surut,"Rajabasa disebut sebagai salah satu kawasan terdampak banjir 14 April 2026. Kejadian banjir merupakan data nyata berbasis pemberitaan media. Koordinat merupakan hasil geocoding/plotting lokasi jalan atau area yang disebut dalam berita, sehingga presisi titik masih dapat disempurnakan dengan survei GPS lapangan.",berita,"https://news.detik.com/berita/d-8445003/banjir-terjang-16-kecamatan-di-bandar-lampung-1-orang-meninggal | https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/","2026-04-14 18:30:00","2026-04-15 11:54:00",true,nyata,105.2325,-5.366
28,"Banjir Teluk Betung","Wilayah Teluk Betung terdampak banjir","Teluk Betung Selatan","Teluk Betung",sedang,,surut,"Teluk Betung disebut sebagai salah satu kawasan terdampak banjir 14 April 2026. Kejadian banjir merupakan data nyata berbasis pemberitaan media. Koordinat merupakan hasil geocoding/plotting lokasi jalan atau area yang disebut dalam berita, sehingga presisi titik masih dapat disempurnakan dengan survei GPS lapangan.",berita,"https://news.detik.com/berita/d-8445003/banjir-terjang-16-kecamatan-di-bandar-lampung-1-orang-meninggal | https://lampung.rilis.id/Breaking%20News/Berita/banjir-rendam-34-titik-di-bandar-lampung-1-warga-36kR?page=1 | https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/","2026-04-14 18:30:00","2026-04-15 11:54:00",true,nyata,105.258,-5.445
29,"Banjir Panjang","Wilayah Panjang terdampak banjir",Panjang,Panjang,sedang,,surut,"Panjang disebut sebagai salah satu kecamatan terdampak hujan dan banjir pada 14 April 2026. Kejadian banjir merupakan data nyata berbasis pemberitaan media. Koordinat merupakan hasil geocoding/plotting lokasi jalan atau area yang disebut dalam berita, sehingga presisi titik masih dapat disempurnakan dengan survei GPS lapangan.",berita,"https://news.detik.com/berita/d-8445003/banjir-terjang-16-kecamatan-di-bandar-lampung-1-orang-meninggal | https://lampung.rilis.id/Breaking%20News/Berita/banjir-rendam-34-titik-di-bandar-lampung-1-warga-36kR?page=1","2026-04-14 18:30:00","2026-04-15 11:54:00",true,nyata,105.321,-5.468
