dataset,id,name,district,subdistrict,level,record_status,source_type,data_status,is_verified,longitude,latitude,source_reference,coordinate_precision_note
flood_events,18,"Banjir Depan RSUD Abdul Moeloek",Enggal,Enggal,tinggi,surut,berita,nyata,true,105.2601,-5.416,"https://news.detik.com/berita/d-8445003/banjir-terjang-16-kecamatan-di-bandar-lampung-1-orang-meninggal | https://lampung.rilis.id/Peristiwa/Berita/bandar-lampung-dikepung-banjir-di-kedaton-kEg1 | https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/","Data kejadian nyata berbasis berita; koordinat hasil geocoding/plotting lokasi jalan, landmark, atau area yang disebut dalam berita, bukan GPS lapangan operasional."
flood_events,19,"Banjir Jalan Dokter Sutomo Penengahan",Kedaton,Penengahan,kritis,surut,berita,nyata,true,105.2638,-5.3948,https://lampung.rilis.id/Peristiwa/Berita/bandar-lampung-dikepung-banjir-di-kedaton-kEg1,"Data kejadian nyata berbasis berita; koordinat hasil geocoding/plotting lokasi jalan, landmark, atau area yang disebut dalam berita, bukan GPS lapangan operasional."
flood_events,20,"Genangan Jalan Pangeran Antasari - Transmart","Way Halim","Way Halim Permai",tinggi,surut,berita,nyata,true,105.2878,-5.3987,"https://lampung.rilis.id/Peristiwa/Berita/bandar-lampung-dikepung-banjir-di-kedaton-kEg1?page=2 | https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/","Data kejadian nyata berbasis berita; koordinat hasil geocoding/plotting lokasi jalan, landmark, atau area yang disebut dalam berita, bukan GPS lapangan operasional."
flood_events,21,"Banjir Kaliawi - Kelapa Tiga","Tanjung Karang Barat","Kaliawi / Kelapa Tiga",tinggi,surut,berita,nyata,true,105.246,-5.4108,"https://lampung.rilis.id/Peristiwa/Berita/bandar-lampung-dikepung-banjir-di-kedaton-kEg1 | https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/","Data kejadian nyata berbasis berita; koordinat hasil geocoding/plotting lokasi jalan, landmark, atau area yang disebut dalam berita, bukan GPS lapangan operasional."
flood_events,22,"Genangan Jalan Teuku Umar",Kedaton,Kedaton,sedang,surut,berita,nyata,true,105.2578,-5.3865,https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/,"Data kejadian nyata berbasis berita; koordinat hasil geocoding/plotting lokasi jalan, landmark, atau area yang disebut dalam berita, bukan GPS lapangan operasional."
flood_events,23,"Genangan Jalan Ki Maja","Way Halim","Way Halim Permai",sedang,surut,berita,nyata,true,105.2795,-5.3848,https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/,"Data kejadian nyata berbasis berita; koordinat hasil geocoding/plotting lokasi jalan, landmark, atau area yang disebut dalam berita, bukan GPS lapangan operasional."
flood_events,24,"Genangan Jalan Antasari",Kedamaian,Kedamaian,sedang,surut,berita,nyata,true,105.293,-5.4075,https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/,"Data kejadian nyata berbasis berita; koordinat hasil geocoding/plotting lokasi jalan, landmark, atau area yang disebut dalam berita, bukan GPS lapangan operasional."
flood_events,25,"Banjir Jalan Pandawa Garuntang","Bumi Waras",Garuntang,kritis,surut,berita,nyata,true,105.28,-5.4305,https://lampung.rilis.id/Breaking%20News/Berita/banjir-rendam-34-titik-di-bandar-lampung-1-warga-36kR?page=1,"Data kejadian nyata berbasis berita; koordinat hasil geocoding/plotting lokasi jalan, landmark, atau area yang disebut dalam berita, bukan GPS lapangan operasional."
flood_events,26,"Banjir Sukarame",Sukarame,Sukarame,sedang,surut,berita,nyata,true,105.313,-5.385,"https://news.detik.com/berita/d-8445003/banjir-terjang-16-kecamatan-di-bandar-lampung-1-orang-meninggal | https://lampung.rilis.id/Breaking%20News/Berita/banjir-rendam-34-titik-di-bandar-lampung-1-warga-36kR?page=1 | https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/","Data kejadian nyata berbasis berita; koordinat hasil geocoding/plotting lokasi jalan, landmark, atau area yang disebut dalam berita, bukan GPS lapangan operasional."
flood_events,27,"Banjir Rajabasa",Rajabasa,Rajabasa,sedang,surut,berita,nyata,true,105.2325,-5.366,"https://news.detik.com/berita/d-8445003/banjir-terjang-16-kecamatan-di-bandar-lampung-1-orang-meninggal | https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/","Data kejadian nyata berbasis berita; koordinat hasil geocoding/plotting lokasi jalan, landmark, atau area yang disebut dalam berita, bukan GPS lapangan operasional."
flood_events,28,"Banjir Teluk Betung","Teluk Betung Selatan","Teluk Betung",sedang,surut,berita,nyata,true,105.258,-5.445,"https://news.detik.com/berita/d-8445003/banjir-terjang-16-kecamatan-di-bandar-lampung-1-orang-meninggal | https://lampung.rilis.id/Breaking%20News/Berita/banjir-rendam-34-titik-di-bandar-lampung-1-warga-36kR?page=1 | https://bacabongkarpost.com/banjir-rendam-bandar-lampung-akibat-hujan-deras-aktivitas-warga-terganggu/","Data kejadian nyata berbasis berita; koordinat hasil geocoding/plotting lokasi jalan, landmark, atau area yang disebut dalam berita, bukan GPS lapangan operasional."
flood_events,29,"Banjir Panjang",Panjang,Panjang,sedang,surut,berita,nyata,true,105.321,-5.468,"https://news.detik.com/berita/d-8445003/banjir-terjang-16-kecamatan-di-bandar-lampung-1-orang-meninggal | https://lampung.rilis.id/Breaking%20News/Berita/banjir-rendam-34-titik-di-bandar-lampung-1-warga-36kR?page=1","Data kejadian nyata berbasis berita; koordinat hasil geocoding/plotting lokasi jalan, landmark, atau area yang disebut dalam berita, bukan GPS lapangan operasional."
flood_risk_points,26,"Risiko Banjir Way Kandis","Tanjung Senang","Way Kandis",tinggi,risiko,jurnal,nyata,true,105.292,-5.3608,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang","Data risiko nyata berbasis literatur akademik; titik merupakan representasi/centroid kelurahan, bukan batas polygon risiko resmi atau GPS lapangan."
flood_risk_points,27,"Risiko Banjir Sukabumi",Sukabumi,Sukabumi,tinggi,risiko,jurnal,nyata,true,105.311,-5.4105,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang","Data risiko nyata berbasis literatur akademik; titik merupakan representasi/centroid kelurahan, bukan batas polygon risiko resmi atau GPS lapangan."
flood_risk_points,28,"Risiko Banjir Bumi Kedamaian",Kedamaian,"Bumi Kedamaian",tinggi,risiko,jurnal,nyata,true,105.286,-5.394,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang","Data risiko nyata berbasis literatur akademik; titik merupakan representasi/centroid kelurahan, bukan batas polygon risiko resmi atau GPS lapangan."
flood_risk_points,29,"Risiko Banjir Rajabasa Jaya",Rajabasa,"Rajabasa Jaya",tinggi,risiko,jurnal,nyata,true,105.235,-5.3585,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang","Data risiko nyata berbasis literatur akademik; titik merupakan representasi/centroid kelurahan, bukan batas polygon risiko resmi atau GPS lapangan."
flood_risk_points,30,"Risiko Banjir Bumi Waras","Bumi Waras","Bumi Waras",tinggi,risiko,jurnal,nyata,true,105.268,-5.4395,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang","Data risiko nyata berbasis literatur akademik; titik merupakan representasi/centroid kelurahan, bukan batas polygon risiko resmi atau GPS lapangan."
flood_risk_points,31,"Risiko Banjir Kangkung","Bumi Waras",Kangkung,tinggi,risiko,jurnal,nyata,true,105.26,-5.447,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang","Data risiko nyata berbasis literatur akademik; titik merupakan representasi/centroid kelurahan, bukan batas polygon risiko resmi atau GPS lapangan."
flood_risk_points,32,"Risiko Banjir Way Tataan","Teluk Betung Timur","Way Tataan",tinggi,risiko,jurnal,nyata,true,105.291,-5.473,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang","Data risiko nyata berbasis literatur akademik; titik merupakan representasi/centroid kelurahan, bukan batas polygon risiko resmi atau GPS lapangan."
flood_risk_points,33,"Risiko Banjir Gedong Pakuan","Teluk Betung Selatan","Gedong Pakuan",tinggi,risiko,jurnal,nyata,true,105.256,-5.438,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang","Data risiko nyata berbasis literatur akademik; titik merupakan representasi/centroid kelurahan, bukan batas polygon risiko resmi atau GPS lapangan."
flood_risk_points,34,"Risiko Banjir Pesawahan","Teluk Betung Selatan",Pesawahan,tinggi,risiko,jurnal,nyata,true,105.249,-5.437,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang","Data risiko nyata berbasis literatur akademik; titik merupakan representasi/centroid kelurahan, bukan batas polygon risiko resmi atau GPS lapangan."
flood_risk_points,35,"Risiko Banjir Sumberejo Sejahtera",Kemiling,"Sumberejo Sejahtera",tinggi,risiko,jurnal,nyata,true,105.223,-5.393,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang","Data risiko nyata berbasis literatur akademik; titik merupakan representasi/centroid kelurahan, bukan batas polygon risiko resmi atau GPS lapangan."
flood_risk_points,36,"Risiko Banjir Kampung Baru","Labuhan Ratu","Kampung Baru",tinggi,risiko,jurnal,nyata,true,105.245,-5.372,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang","Data risiko nyata berbasis literatur akademik; titik merupakan representasi/centroid kelurahan, bukan batas polygon risiko resmi atau GPS lapangan."
flood_risk_points,37,"Risiko Banjir Kota Karang Raya","Teluk Betung Timur","Kota Karang Raya",tinggi,risiko,jurnal,nyata,true,105.255,-5.463,"Agustri & Asbi (2020), Tingkat Risiko Bencana Banjir di Kota Bandar Lampung dan Upaya Pengurangannya Berbasis Penataan Ruang","Data risiko nyata berbasis literatur akademik; titik merupakan representasi/centroid kelurahan, bukan batas polygon risiko resmi atau GPS lapangan."
